string,int,int,int,,,string,,,,,string,string,string,float,float,float,,,int,float,float,float,float,int,int,int,int,int,int,int,int[3],int[3],int,int,,int,float,int,int;int,rate;rate,,,,rate,,,,,int,int,int,int,int,int,int,rate,int,rate,int,,int,,,,,,,,,,,,,,,bool,,
三叶草,5016,5016,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,1,7101,1,0,,,,,,,,,,,,5,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao01,,0,,,,0,,
醉梦草,5017,5017,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,2,7102,1,0,,,,,,,,,,,,5,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao01,,0,,,,0,,
龙蛇草,5018,5018,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,3,7103,1,0,,,,,,,,,,,,5,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao01,,0,,,,0,,
化血草,5019,5019,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,4,7104,1,0,,,,,,,,,,,,5,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao01,,0,,,,0,,
断肠草,5020,5020,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,5,7105,1,0,,,,,,,,,,,,5,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao01,,0,,,,0,,
龙桂枝,5021,5021,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,6,7106,1,0,,,,,,,,,,,,5,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao01,,0,,,,0,,
紫烟花,5022,5022,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,7,7107,1,0,,,,,,,,,,,,5,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao01,,0,,,,0,,
五色莲,5023,5023,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,8,7108,1,0,,,,,,,,,,,,5,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao01,,0,,,,0,,
六叶莲,5024,5024,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,9,7109,1,0,,,,,,,,,,,,5,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao01,,0,,,,0,,
九阴芝,5025,5025,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,10,7110,1,0,,,,,,,,,,,,5,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao01,,0,,,,0,,
赤铁矿,5031,5031,5,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,1,7031,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_kuang02,,0,,,,0,,
紫铜矿,5032,5032,5,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,2,7032,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_kuang02,,0,,,,0,,
辉银矿,5033,5033,5,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,3,7033,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_kuang02,,0,,,,0,,
紫金矿,5034,5034,5,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,4,7034,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_kuang02,,0,,,,0,,
璞玉矿,5035,5035,5,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,5,7035,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_kuang02,,0,,,,0,,
玄武矿,5036,5036,5,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,6,7036,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_kuang02,,0,,,,0,,
朱雀矿,5037,5037,5,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,7,7037,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_kuang02,,0,,,,0,,
白虎矿,5038,5038,5,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,8,7038,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_kuang02,,0,,,,0,,
青龙矿,5039,5039,5,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,9,7039,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_kuang02,,0,,,,0,,
二极矿,5040,5040,5,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,10,7040,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_kuang02,,0,,,,0,,
千年三叶草,5046,5046,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,1,7131,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao02,,0,,,,0,,
千年醉梦草,5047,5047,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,2,7132,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao02,,0,,,,0,,
千年龙蛇草,5048,5048,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,3,7133,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao02,,0,,,,0,,
千年化血草,5049,5049,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,4,7134,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao02,,0,,,,0,,
千年断肠草,5050,5050,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,5,7135,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao02,,0,,,,0,,
千年龙桂枝,5051,5051,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,6,7136,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao02,,0,,,,0,,
千年紫烟花,5052,5052,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,7,7137,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao02,,0,,,,0,,
千年五色莲,5053,5053,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,8,7138,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao02,,0,,,,0,,
千年六叶莲,5054,5054,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,9,7139,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao02,,0,,,,0,,
千年九阴芝,5055,5055,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,10,7140,1,0,,,,,,,,,,,,10,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao02,,0,,,,0,,
生命水晶矿,5061,5061,5,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,1,7061,1,0,,,,,,,,,,,,5,,,,,,,,,,,,,,30,,,pic_mon_kuang02,,,,,,0,,
魔法水晶矿,5062,5062,5,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,2,7062,1,0,,,,,,,,,,,,5,,,,,,,,,,,,,,30,,,pic_mon_kuang02,,,,,,0,,
能量水晶矿,5063,5063,5,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,3,7063,1,0,,,,,,,,,,,,5,,,,,,,,,,,,,,30,,,pic_mon_kuang02,,,,,,0,,
怒血草,5101,5101,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,1,7161,1,0,,,,,,,,,,,,5,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao02,,0,,,,0,,
净灵莲,5102,5102,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,2,7162,1,0,,,,,,,,,,,,5,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao02,,0,,,,0,,
火焰花,5103,5103,4,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,"0,0,0","0,0,0,",0,0,0,0,0,3,7163,1,0,,,,,,,,,,,,5,,,,,,,,monster,2,,,,,30,,0,pic_mon_caoyao02,,0,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
药草大盗老任,6001,5502,1,0,,,,,,,,,,150,0,525,200,0,0,0,40,50,0.75,10,1365,324,45,49,49,80,"0,0,0","40,40,40,",95,0,0,500,0.3,10,5191;5803;14001;14002,0.01;0.5;0.1;0.1,0,2,1,0.4,0.05,0,,,,,,300,,,,,,,,,monster,3,,,,,20,,1,pic_mon057,,6002,,,0,0,Bip01 Footsteps,linghun
小华,6002,5503,1,0,,,,,,,,,,150,0,525,200,0,0,0,40,50,0.75,11,1245,340,42,53,46,74,"0,0,0","38,38,38,",85,0,0,0,0,11,4051;4052;4053;4054,0.05;0.05;0.05;0.05,0,2,1,0.4,0.05,0,,,,,7202,300,3,,,,,,,,monster,3,,,,,20,,1,pic_mon021,,6001,,,0,0,Bip01 Spine1,linghun
药草大盗老李,6003,5504,1,0,,,,,,,,,,150,0,525,200,0,0,0,40,50,0.75,21,3405,518,74,97,87,146,"0,0,0","60,60,60,",220,0,0,1000,0.3,21,14003;14004,0.1;0.1,0,2,1,0.2,0.02,0,,,,,,300,,,,,,,,,monster,3,,,,,20,,1,pic_mon057,,6004,,,0,0,Bip01 Footsteps,linghun
大华,6004,5505,1,0,,,,,,,,,,150,0,525,200,0,0,0,40,50,0.75,20,2295,499,71,92,83,92,"0,0,0","261,261,261,",205,0,0,0,0,20,4047;4048;4049;4050,0.05;0.05;0.05;0.05,0,2,1,0.2,0.02,0,,,,,7203,300,3,,,,,,,,monster,3,,,,,20,,1,pic_mon502d,,6003,,,0,0,Bip01,linghun
药草大盗小昭,6005,5506,1,0,,,,,,,,,,150,0,525,200,0,0,0,40,50,0.75,31,6015,728,108,155,134,233,"0,0,0","80,80,80,",395,0,0,1500,0.3,31,14005;14006,0.1;0.1,0,2,1,0.2,0.02,0,,,,,,300,,,,,,,,,monster,3,,,,,20,,1,pic_mon142,,6006,,,0,0,Bip01,linghun
阿星,6006,5507,1,0,,,,,,,,,,150,0,525,200,0,0,0,40,50,0.75,30,5715,705,105,149,129,223,"0,0,0","78,78,78,",375,0,0,0,0,30,4043;4044;4045;4046,0.05;0.05;0.05;0.05,0,2,1,0.2,0.02,0,,,,,7204,300,3,,,,,,,,monster,3,,,,,20,,1,pic_mon140,,6005,,,0,0,Bip01,linghun
药草大盗老陈,6007,417,1,0,,,,,,,,,,150,0,525,200,0,0,0,40,50,0.75,41,7932,969,156,162,203,365,"0,0,0","104,104,104,",671,0,0,2000,0.3,41,14007;14008,0.1;0.1,0,2,1,0.2,0.02,0,,,,,,300,,,,,,,,,monster,3,,,,,20,,0,pic_mon117,,6008,,,0,0,Bip01,linghun
阿日,6008,5508,1,0,,,,,,,,,,150,0,525,200,0,6106,70,180,50,0.5,40,7636,2950,152,0,197,353,"250,0,0","102,102,102,",645,0,0,0,0,40,4039;4040;4041;4042,0.05;0.05;0.05;0.05,0,2,1,0.2,0.02,0,,,,,7205,300,3,,,,,,,,monster,3,,,,,20,,0,pic_mon144a,,6007,,,0,0,Bip01,linghun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利刃蛛,7001,7001,1,0,,,,,,,,,,150,250,525,100,0,0,0,60,90,0.75,16,4485,425,59,74,67,111,"0,0,0","50,50,50,",545,0,0,8,0.4,16,82;102;122;142;2;22;42;62;3;23;43;63;23;6042;6043;7504;7604;7804;7704;8101;8104;7401;10002;10022;10042;10062;10082;10102;10122;10142;10202;10222;10242;10262;10402;10422;10442;10462;10602;10622;10642;10662;10802;10822;10842;10862;11206;11207;11208;11209;11210,0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.01;0.01;0.01;0.01;0.02;0.02;0.05;0.05;0.1;0.05;0.01;0.02;0.01;0.01;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0015;0.0015;0.0015;0.0015;0.0015;,0,2,1,0.1,0.01,0,,,,,7202,60,3,,,,,,,,monster,3,,,,,60,,0,pic_mon011,,0,,,0,0,Bip01,linghun
青面蛛,7002,7002,1,0,,,,,,,,,,150,250,525,100,0,0,0,60,90,0.75,15,6240,408,56,69,63,104,"0,0,0","48,48,48,",496,0,0,6,0.4,15,2002;2022;2042;2062;2202;2222;2242;2262;2222;2422;2442;2462;2602;2622;2642;2662;6042;6043;7504;7604;7804;7704;8101;8104;7401;10002;10022;10042;10062;10082;10102;10122;10142;10202;10222;10242;10262;10402;10422;10442;10462;10602;10622;10642;10662;10802;10822;10842;10862;11206;11207;11208;11209;11210,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.02;0.02;0.05;0.05;0.1;0.05;0.01;0.02;0.01;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0015;0.0015;0.0015;0.0015;0.0015;,0,2,1,0.1,0.01,0,,,,,7202,60,3,,,,,,,,monster,3,,,,,60,,0,pic_mon011,,0,,,0,0,Bip01,linghun
阿修罗教男仆,7003,7003,1,0,,,,,,,,,,150,250,525,100,0,0,0,60,60,0.75,26,9225,619,91,125,110,187,"0,0,0","70,70,70,",1145,0,0,8,0.4,26,83;103;123;143;3;23;43;63;4;24;44;64;6044;6045;7506;7606;7806;7706;8101;8104;7401;10003;10023;10043;10063;10083;10103;10123;10143;10203;10223;10243;10263;10403;10423;10443;10463;10603;10623;10643;10663;10803;10823;10843;10863;11211;11212;11213;11214;11215,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.005;0.005;0.005;0.005;0.02;0.02;0.02;0.02;0.05;0.02;0.005;0.01;0.005;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.001;0.001;0.001;0.001;0.001;,0,2,1,0.1,0.01,0,1501,0.005,,,,60,,,,,,,,,monster,3,,,,,60,,0,pic_mon062,,0,,,0,0,Bip01,linghun
阿修罗教女仆,7004,7004,1,0,,,,,,,,,,150,250,525,100,0,0,0,60,60,0.5,25,6240,1870,87,168,105,119,"0,0,400","306,306,306,",1076,0,0,6,0.4,25,2003;2023;2043;2063;2203;2223;2243;2263;2223;2423;2443;2463;2603;2623;2643;2663;6044;6045;7506;7606;7806;7706;8101;8104;7401;10003;10023;10043;10063;10083;10103;10123;10143;10203;10223;10243;10263;10403;10423;10443;10463;10603;10623;10643;10663;10803;10823;10843;10863;11211;11212;11213;11214;11215;15014,0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.05;0.02;0.005;0.01;0.005;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.001;0.001;0.001;0.001;0.001;0.01,0,2,1,0.1,0.01,0,1501,0.005,10901;10911;10921;10931,,,60,,5006;5006;5006;5006,5;5;5;5,0.7;0.7;0.7;0.7,,,,,monster,3,,,,,60,,0,pic_mon118,,0,,,0,0,Bip01,linghun
五尾,7005,7005,1,0,,,,,,,,,,150,250,525,100,0,0,0,60,90,0.75,45,22200,1075,165,160,216,390,"0,0,0","108,508,108,",2836,0,0,8,0.4,45,84;104;124;144;4;24;44;64;6044;6045;7510;7610;7810;7710;8102;8105;7401;10005;10025;10045;10065;10085;10105;10125;10145;10205;10225;10245;10265;10405;10425;10445;10465;10605;10625;10645;10665;10805;10825;10845;10865;11221;11222;11223;11224;11225,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.02;0.02;0.01;0.01;0.02;0.01;0.003;0.005;0.0025;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.001;0.001;0.001;0.001;0.001;,0,2,1,0.1,0.01,0,1501,0.005,,,7204,60,3,,,,,,,,monster,3,,,,,60,,0,pic_mon144d,,0,,,0,0,Bip01,linghun
三尾,7006,7006,1,0,,,,,,,,,,150,250,525,100,0,0,0,60,90,0.75,35,14580,820,124,122,156,273,"240,0,0","88,388,88,",1856,0,0,6,0.4,35,2004;2024;2044;2064;2204;2224;2244;2264;2224;2424;2444;2464;2604;2624;2644;2664;6044;6045;7508;7608;7808;7708;8101;8104;7401;10004;10024;10044;10064;10084;10104;10124;10144;10204;10224;10244;10264;10404;10424;10444;10464;10604;10624;10644;10664;10804;10824;10844;10864;11216;11217;11218;11219;11220,0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.02;0.02;0.02;0.02;0.05;0.02;0.005;0.01;0.0025;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.001;0.001;0.001;0.001;0.001;,0,2,1,0.1,0.01,0,1501,0.005,10901;10911;10921;10931,,7204,60,3,5007;5007;5007;5007,5;5;5;5,0.7;0.7;0.7;0.7,,,,,monster,3,,,,,60,,0,pic_mon144d,,0,,,0,0,Bip01,linghun
冰石巨人,7007,7007,1,0,,,,,,,,,,150,250,525,100,0,0,0,60,60,0.5,40,27240,2950,143,300,185,1029,"0,0,0","98,98,98,",2321,0,0,8,0.4,40,84;104;124;144;4;24;44;64;6044;6045;7510;7610;7810;7710;8102;8105;7401;10005;10025;10045;10065;10085;10105;10125;10145;10205;10225;10245;10265;10405;10425;10445;10465;10605;10625;10645;10665;10805;10825;10845;10865;11221;11222;11223;11224;11225,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.02;0.02;0.01;0.01;0.02;0.01;0.003;0.005;0.0025;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.001;0.001;0.001;0.001;0.001;,0,2,1,0.1,0.01,0,1501,0.005,,,,60,,,,,,,,,monster,3,,,,,60,,0,pic_mon062,,0,,,0,0,Bip01 Spine,linghun
猎狐人,7008,7008,1,0,,,,,,,,,,150,250,525,100,0,0,0,60,60,0.75,35,14580,820,124,182,156,273,"0,0,0","88,88,88,",1856,0,0,6,0.4,35,2004;2024;2044;2064;2204;2224;2244;2264;2224;2424;2444;2464;2604;2624;2644;2664;6044;6045;7508;7608;7808;7708;8101;8104;7401;10004;10024;10044;10064;10084;10104;10124;10144;10204;10224;10244;10264;10404;10424;10444;10464;10604;10624;10644;10664;10804;10824;10844;10864;11216;11217;11218;11219;11220,0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.02;0.02;0.02;0.02;0.05;0.02;0.005;0.01;0.0025;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.001;0.001;0.001;0.001;0.001;,0,2,1,0.1,0.01,0,1501,0.005,,,,60,,,,,,,,,monster,3,,,,,300,,0,pic_mon058,,0,,,0,0,Bip01 Spine,linghun
游离的精魄,7009,7009,1,0,,,,,,,,,,400,0,525,100,0,0,0,60,90,0.75,45,150,1075,0,0,0,0,"0,0,0","88,88,88,",2836,0,0,0,0,45,5192,1,0,2,1,0.5,0.05,0,,,,,,60,,,,,,,,,monster,3,,,,,3600,,0,pic_mon_kuang02,,0,,,0,0,Bip01,linghun
碧鳞飞廉,7010,7010,1,0,,,,,,,,,,150,250,525,100,0,0,0,60,90,0.75,35,14580,820,124,82,156,273,"0,0,400","88,88,388,",1856,0,0,6,0.4,35,2004;2024;2044;2064;2204;2224;2244;2264;2224;2424;2444;2464;2604;2624;2644;2664;6044;6045;7508;7608;7808;7708;8101;8104;7401;10004;10024;10044;10064;10084;10104;10124;10144;10204;10224;10244;10264;10404;10424;10444;10464;10604;10624;10644;10664;10804;10824;10844;10864;11216;11217;11218;11219;11220,0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.02;0.02;0.02;0.02;0.05;0.02;0.005;0.01;0.0025;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.001;0.001;0.001;0.001;0.001,0,2,1,0.1,0.01,0,1501,0.005,,,7204,60,3,,,,,,,,monster,3,,,,,60,,0,pic_mon500c,,0,,,0,0,Bip01,linghun
天雷飞廉,7011,7011,1,0,,,,,,,,,,150,250,525,100,0,0,0,60,90,0.75,40,18165,944,143,219,185,329,"0,0,0","98,98,98,",1856,0,0,6,0.4,35,2004;2024;2044;2064;2204;2224;2244;2264;2224;2424;2444;2464;2604;2624;2644;2664;6044;6045;7508;7608;7808;7708;8101;8104;7401;10004;10024;10044;10064;10084;10104;10124;10144;10204;10224;10244;10264;10404;10424;10444;10464;10604;10624;10644;10664;10804;10824;10844;10864;11216;11217;11218;11219;11220,0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.02;0.02;0.02;0.02;0.05;0.02;0.005;0.01;0.0025;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.001;0.001;0.001;0.001;0.001,0,2,1,0.1,0.01,0,1501,0.005,,,7204,60,3,,,,,,,,monster,3,,,,,60,,0,pic_mon500b,,0,,,0,0,Bip01,linghun
穴居山臊,7012,7012,1,0,,,,,,,,,,150,250,525,100,0,0,0,60,90,0.75,40,18165,944,143,100,185,329,"0,480,0","488,98,98,",2321,0,0,8,0.4,40,84;104;124;144;4;24;44;64;6044;6045;7510;7610;7810;7710;8101;8104;7401;10005;10025;10045;10065;10085;10105;10125;10145;10205;10225;10245;10265;10405;10425;10445;10465;10605;10625;10645;10665;10805;10825;10845;10865;11221;11222;11223;11224;11225,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.02;0.02;0.01;0.01;0.02;0.01;0.003;0.005;0.0025;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.001;0.001;0.001;0.001;0.001;,0,2,1,0.1,0.01,0,1501,0.005,,,7205,60,3,,,,,,,,monster,3,,,,,60,,0,pic_mon502c,,0,,,0,0,Bip01,linghun
掘地山臊,7013,7013,1,0,,,,,,,,,,150,250,525,100,0,0,0,60,90,0.75,45,31200,1075,165,260,216,1490,"0,0,0","108,108,108,",2836,0,0,8,0.4,45,84;104;124;144;4;24;44;64;6044;6045;7510;7610;7810;7710;8101;8104;7401;10005;10025;10045;10065;10085;10105;10125;10145;10205;10225;10245;10265;10405;10425;10445;10465;10605;10625;10645;10665;10805;10825;10845;10865;11221;11222;11223;11224;11225,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.02;0.02;0.01;0.01;0.02;0.01;0.003;0.005;0.0025;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.001;0.001;0.001;0.001;0.001;,0,2,1,0.1,0.01,0,1501,0.005,,,7205,60,3,,,,,,,,monster,3,,,,,60,,0,pic_mon502b,,0,,,0,0,Bip01,linghun
