,,,,基本属性,,,,,,,,,条件,,,,,,施放,,,,,,,,,,,,,,,,,飞行,,,,攻击,,,,,,,,,受击,,,,,,,,,,,,,,,,,,,      ,,,,
3584,龙龟甲,155,2,0,10,10,0,Metier=1;MetierLev>=0;Level>=1,,使移动速度-60%，物理防御+30%，元素防御+1200，生命上限+65%，持续60秒，无法与巨灵神共用,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">万年龙龟擎天庇世，符箓化甲坚不可摧。</FONT></P>",pic_skill_wtc_05,96,WeaponEquiped=1;WeaponType&1,Level>=75;Metier=1;NeedSP 2 24;Need 3565;,1,,,0,0,120,1,1770,180000,skill_c4,,shit,,,,,,,,,,,,,3,0,,,0,0,0,,0,,,,,,,AddEff 3039,,,,,,,,,,,,161;169,,,,,
3555,披靡破势,158,2,100,1,5,0,Metier=1;MetierLev>=0;Level>=1,,使惊鬼邪附加弱化效果，物理攻击-10%，持续时间60秒,"<P><FONT color=""#88aadd"">作用目标：惊鬼邪</FONT></P><P><FONT color=""#88aadd"">发散出强大的煞气震慑敌人，先破其势而后退之，挡者披靡。</FONT></P>",pic_skill_wtc_08,,,Level>=20;Metier=1;NeedSP 2 14;Need 3515;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,AddEff 3040,,,,,,,,,,,,
3556,披靡破势,158,2,100,2,5,0,Metier=1;MetierLev>=0;Level>=1,,使惊鬼邪附加弱化效果，物理攻击-12%，持续时间60秒,"<P><FONT color=""#88aadd"">作用目标：惊鬼邪</FONT></P><P><FONT color=""#88aadd"">发散出强大的煞气震慑敌人，先破其势而后退之，挡者披靡。</FONT></P>",pic_skill_wtc_08,,,Level>=25;Metier=1;NeedSP 2 14;Need 3515;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,AddEff 3041,,,,,,,,,,,,
3557,披靡破势,158,2,100,3,5,0,Metier=1;MetierLev>=0;Level>=1,,使惊鬼邪附加弱化效果，物理攻击-15%，持续时间60秒,"<P><FONT color=""#88aadd"">作用目标：惊鬼邪</FONT></P><P><FONT color=""#88aadd"">发散出强大的煞气震慑敌人，先破其势而后退之，挡者披靡。</FONT></P>",pic_skill_wtc_08,,,Level>=30;Metier=1;NeedSP 2 14;Need 3515;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,AddEff 3042,,,,,,,,,,,,
3558,披靡破势,158,2,100,4,5,0,Metier=1;MetierLev>=0;Level>=1,,使惊鬼邪附加弱化效果，物理攻击-17%，持续时间60秒,"<P><FONT color=""#88aadd"">作用目标：惊鬼邪</FONT></P><P><FONT color=""#88aadd"">发散出强大的煞气震慑敌人，先破其势而后退之，挡者披靡。</FONT></P>",pic_skill_wtc_08,,,Level>=35;Metier=1;NeedSP 2 14;Need 3515;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,AddEff 3043,,,,,,,,,,,,
3559,披靡破势,158,2,100,5,5,0,Metier=1;MetierLev>=0;Level>=1,,使惊鬼邪附加弱化效果，物理攻击-20%，持续时间60秒,"<P><FONT color=""#88aadd"">作用目标：惊鬼邪</FONT></P><P><FONT color=""#88aadd"">发散出强大的煞气震慑敌人，先破其势而后退之，挡者披靡。</FONT></P>",pic_skill_wtc_08,,,Level>=40;Metier=1;NeedSP 2 14;Need 3515;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,AddEff 3044,,,,,,,,,,,,
3560,穿山裂石,159,2,100,1,5,0,Metier=1;MetierLev>=0;Level>=1,,使撼地击伤害增加5%,"<P><FONT color=""#88aadd"">作用目标：撼地击</FONT></P><P><FONT color=""#88aadd"">须臾介子操使万斤神兵，可洞穿山石撕裂地势。</FONT></P>",pic_skill_wtc_09,,,Level>=20;Metier=1;NeedSP 2 14;Need 3500;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DamageMaxR+0.05;DamageMinR+0.05,,,,,,,,,,,,,,,,,,,
3561,穿山裂石,159,2,100,2,5,0,Metier=1;MetierLev>=0;Level>=1,,使撼地击伤害增加10%,"<P><FONT color=""#88aadd"">作用目标：撼地击</FONT></P><P><FONT color=""#88aadd"">须臾介子操使万斤神兵，可洞穿山石撕裂地势。</FONT></P>",pic_skill_wtc_09,,,Level>=25;Metier=1;NeedSP 2 14;Need 3500;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DamageMaxR+0.1;DamageMinR+0.1,,,,,,,,,,,,,,,,,,,
3562,穿山裂石,159,2,100,3,5,0,Metier=1;MetierLev>=0;Level>=1,,使撼地击伤害增加15%,"<P><FONT color=""#88aadd"">作用目标：撼地击</FONT></P><P><FONT color=""#88aadd"">须臾介子操使万斤神兵，可洞穿山石撕裂地势。</FONT></P>",pic_skill_wtc_09,,,Level>=30;Metier=1;NeedSP 2 14;Need 3500;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DamageMaxR+0.15;DamageMinR+0.15,,,,,,,,,,,,,,,,,,,
3563,穿山裂石,159,2,100,4,5,0,Metier=1;MetierLev>=0;Level>=1,,使撼地击伤害增加20%,"<P><FONT color=""#88aadd"">作用目标：撼地击</FONT></P><P><FONT color=""#88aadd"">须臾介子操使万斤神兵，可洞穿山石撕裂地势。</FONT></P>",pic_skill_wtc_09,,,Level>=35;Metier=1;NeedSP 2 14;Need 3500;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DamageMaxR+0.2;DamageMinR+0.2,,,,,,,,,,,,,,,,,,,
3564,穿山裂石,159,2,100,5,5,0,Metier=1;MetierLev>=0;Level>=1,,使撼地击伤害增加25%,"<P><FONT color=""#88aadd"">作用目标：撼地击</FONT></P><P><FONT color=""#88aadd"">须臾介子操使万斤神兵，可洞穿山石撕裂地势。</FONT></P>",pic_skill_wtc_09,,,Level>=40;Metier=1;NeedSP 2 14;Need 3500;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DamageMaxR+0.25;DamageMinR+0.25,,,,,,,,,,,,,,,,,,,
3570,云龙渡,161,2,100,1,5,0,Metier=1;MetierLev>=0;Level>=1,,使龙龟甲状态下移动速度+10%,"<P><FONT color=""#88aadd"">作用目标：龙龟甲</FONT></P><P><FONT color=""#88aadd"">腾挪纵跃化身云龙，飞舞凌天千里瞬步。</FONT></P>",pic_skill_wtc_11,,,Level>=30;Metier=1;NeedSP 2 24;Need 3575;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AddEff 3045,,,,,,,,,,,,,,,,,
3571,云龙渡,161,2,100,2,5,0,Metier=1;MetierLev>=0;Level>=1,,使龙龟甲状态下移动速度+15%,"<P><FONT color=""#88aadd"">作用目标：龙龟甲</FONT></P><P><FONT color=""#88aadd"">腾挪纵跃化身云龙，飞舞凌天千里瞬步。</FONT></P>",pic_skill_wtc_11,,,Level>=35;Metier=1;NeedSP 2 24;Need 3575;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AddEff 3046,,,,,,,,,,,,,,,,,
3572,云龙渡,161,2,100,3,5,0,Metier=1;MetierLev>=0;Level>=1,,使龙龟甲状态下移动速度+20%,"<P><FONT color=""#88aadd"">作用目标：龙龟甲</FONT></P><P><FONT color=""#88aadd"">腾挪纵跃化身云龙，飞舞凌天千里瞬步。</FONT></P>",pic_skill_wtc_11,,,Level>=40;Metier=1;NeedSP 2 24;Need 3575;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AddEff 3047,,,,,,,,,,,,,,,,,
3573,云龙渡,161,2,100,4,5,0,Metier=1;MetierLev>=0;Level>=1,,使龙龟甲状态下移动速度+25%,"<P><FONT color=""#88aadd"">作用目标：龙龟甲</FONT></P><P><FONT color=""#88aadd"">腾挪纵跃化身云龙，飞舞凌天千里瞬步。</FONT></P>",pic_skill_wtc_11,,,Level>=45;Metier=1;NeedSP 2 24;Need 3575;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AddEff 3048,,,,,,,,,,,,,,,,,
3574,云龙渡,161,2,100,5,5,0,Metier=1;MetierLev>=0;Level>=1,,使龙龟甲状态下移动速度+30%,"<P><FONT color=""#88aadd"">作用目标：龙龟甲</FONT></P><P><FONT color=""#88aadd"">腾挪纵跃化身云龙，飞舞凌天千里瞬步。</FONT></P>",pic_skill_wtc_11,,,Level>=50;Metier=1;NeedSP 2 24;Need 3575;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AddEff 3049,,,,,,,,,,,,,,,,,
3585,太初玄黄倒,162,2,0,1,10,0,Metier=1;MetierLev>=1;Level>=1,,增加全体队友生命上限5%，持续10分钟,"<P><FONT color=""#88aadd"">作用目标：自己为中心的己方全体</FONT></P><P><FONT color=""#88aadd"">混沌初始化玄黄，太初一气倒乾坤。</FONT></P>",pic_skill_wtc_12,65,WeaponEquiped=1;WeaponType&1,Level>=40;Metier=1;NeedSP 2 34;,1,,,0,0,120,1,1500,2000,skill_c5,,shit,,,,,,,,,,,,,16,1,,300,0,0,0,,0,,,,,,,,AddEff 3240,,,,,,,,,,,,,,,,
3586,太初玄黄倒,162,2,0,2,10,0,Metier=1;MetierLev>=1;Level>=1,,增加全体队友生命上限6%，持续10分钟,"<P><FONT color=""#88aadd"">作用目标：自己为中心的己方全体</FONT></P><P><FONT color=""#88aadd"">混沌初始化玄黄，太初一气倒乾坤。</FONT></P>",pic_skill_wtc_12,72,WeaponEquiped=1;WeaponType&1,Level>=45;Metier=1;NeedSP 2 34;,1,,,0,0,120,1,1500,2000,skill_c5,,shit,,,,,,,,,,,,,16,1,,300,0,0,0,,0,,,,,,,,AddEff 3241,,,,,,,,,,,,,,,,
3587,太初玄黄倒,162,2,0,3,10,0,Metier=1;MetierLev>=1;Level>=1,,增加全体队友生命上限7%，持续10分钟,"<P><FONT color=""#88aadd"">作用目标：自己为中心的己方全体</FONT></P><P><FONT color=""#88aadd"">混沌初始化玄黄，太初一气倒乾坤。</FONT></P>",pic_skill_wtc_12,78,WeaponEquiped=1;WeaponType&1,Level>=50;Metier=1;NeedSP 2 34;,1,,,0,0,120,1,1500,2000,skill_c5,,shit,,,,,,,,,,,,,16,1,,300,0,0,0,,0,,,,,,,,AddEff 3242,,,,,,,,,,,,,,,,
3588,太初玄黄倒,162,2,0,4,10,0,Metier=1;MetierLev>=1;Level>=1,,增加全体队友生命上限8%，持续10分钟,"<P><FONT color=""#88aadd"">作用目标：自己为中心的己方全体</FONT></P><P><FONT color=""#88aadd"">混沌初始化玄黄，太初一气倒乾坤。</FONT></P>",pic_skill_wtc_12,85,WeaponEquiped=1;WeaponType&1,Level>=55;Metier=1;NeedSP 2 34;,1,,,0,0,120,1,1500,2000,skill_c5,,shit,,,,,,,,,,,,,16,1,,300,0,0,0,,0,,,,,,,,AddEff 3243,,,,,,,,,,,,,,,,
3589,太初玄黄倒,162,2,0,5,10,0,Metier=1;MetierLev>=1;Level>=1,,增加全体队友生命上限9%，持续10分钟,"<P><FONT color=""#88aadd"">作用目标：自己为中心的己方全体</FONT></P><P><FONT color=""#88aadd"">混沌初始化玄黄，太初一气倒乾坤。</FONT></P>",pic_skill_wtc_12,92,WeaponEquiped=1;WeaponType&1,Level>=60;Metier=1;NeedSP 2 34;,1,,,0,0,120,1,1500,2000,skill_c5,,shit,,,,,,,,,,,,,16,1,,300,0,0,0,,0,,,,,,,,AddEff 3244,,,,,,,,,,,,,,,,
3590,太初玄黄倒,162,2,0,6,10,0,Metier=1;MetierLev>=1;Level>=1,,增加全体队友生命上限10%，持续10分钟,"<P><FONT color=""#88aadd"">作用目标：自己为中心的己方全体</FONT></P><P><FONT color=""#88aadd"">混沌初始化玄黄，太初一气倒乾坤。</FONT></P>",pic_skill_wtc_12,98,WeaponEquiped=1;WeaponType&1,Level>=65;Metier=1;NeedSP 2 34;,1,,,0,0,120,1,1500,2000,skill_c5,,shit,,,,,,,,,,,,,16,1,,300,0,0,0,,0,,,,,,,,AddEff 3245,,,,,,,,,,,,,,,,
3591,太初玄黄倒,162,2,0,7,10,0,Metier=1;MetierLev>=1;Level>=1,,增加全体队友生命上限11%，持续10分钟,"<P><FONT color=""#88aadd"">作用目标：自己为中心的己方全体</FONT></P><P><FONT color=""#88aadd"">混沌初始化玄黄，太初一气倒乾坤。</FONT></P>",pic_skill_wtc_12,105,WeaponEquiped=1;WeaponType&1,Level>=70;Metier=1;NeedSP 2 34;,1,,,0,0,120,1,1500,2000,skill_c5,,shit,,,,,,,,,,,,,16,1,,300,0,0,0,,0,,,,,,,,AddEff 3246,,,,,,,,,,,,,,,,
3592,太初玄黄倒,162,2,0,8,10,0,Metier=1;MetierLev>=1;Level>=1,,增加全体队友生命上限12%，持续10分钟,"<P><FONT color=""#88aadd"">作用目标：自己为中心的己方全体</FONT></P><P><FONT color=""#88aadd"">混沌初始化玄黄，太初一气倒乾坤。</FONT></P>",pic_skill_wtc_12,112,WeaponEquiped=1;WeaponType&1,Level>=75;Metier=1;NeedSP 2 34;,1,,,0,0,120,1,1500,2000,skill_c5,,shit,,,,,,,,,,,,,16,1,,300,0,0,0,,0,,,,,,,,AddEff 3247,,,,,,,,,,,,,,,,
3593,太初玄黄倒,162,2,0,9,10,0,Metier=1;MetierLev>=1;Level>=1,,增加全体队友生命上限13%，持续10分钟,"<P><FONT color=""#88aadd"">作用目标：自己为中心的己方全体</FONT></P><P><FONT color=""#88aadd"">混沌初始化玄黄，太初一气倒乾坤。</FONT></P>",pic_skill_wtc_12,118,WeaponEquiped=1;WeaponType&1,Level>=80;Metier=1;NeedSP 2 34;,1,,,0,0,120,1,1500,2000,skill_c5,,shit,,,,,,,,,,,,,16,1,,300,0,0,0,,0,,,,,,,,AddEff 3248,,,,,,,,,,,,,,,,
3594,太初玄黄倒,162,2,0,10,10,0,Metier=1;MetierLev>=1;Level>=1,,增加全体队友生命上限15%，持续10分钟,"<P><FONT color=""#88aadd"">作用目标：自己为中心的己方全体</FONT></P><P><FONT color=""#88aadd"">混沌初始化玄黄，太初一气倒乾坤。</FONT></P>",pic_skill_wtc_12,125,WeaponEquiped=1;WeaponType&1,Level>=85;Metier=1;NeedSP 2 34;,1,,,0,0,120,1,1500,2000,skill_c5,,shit,,,,,,,,,,,,,16,1,,300,0,0,0,,0,,,,,,,,AddEff 3249,,,,,,,,,,,,,,,,
3595,破军震九藜,163,2,0,1,10,0,Metier=1;MetierLev>=1;Level>=1,,对群体敌人造成火伤害150，3次伤害,"<P><FONT color=""#88aadd"">作用目标：自己为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">其势破军，挥刀震地，以气盖天，倾覆九藜。</FONT></P>",pic_skill_wtc_13,78,WeaponEquiped=1;WeaponType&1,Level>=50;Metier=1;NeedSP 2 44;,1,,,10,0,60,3,1700,2000,skill_c6,,shit,,,,,,,,,,,,,11,1,5,100,1,1,1,,10,skill_hit20,root,,,FireDm+600;AttackRate+18,,,AddHate+2200,,,,,,,,,,,170,,,,,
3596,破军震九藜,163,2,0,2,10,0,Metier=1;MetierLev>=1;Level>=1,,对群体敌人造成火伤害187，3次伤害,"<P><FONT color=""#88aadd"">作用目标：自己为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">其势破军，挥刀震地，以气盖天，倾覆九藜。</FONT></P>",pic_skill_wtc_13,85,WeaponEquiped=1;WeaponType&1,Level>=55;Metier=1;NeedSP 2 44;,1,,,10,0,60,3,1700,2000,skill_c6,,shit,,,,,,,,,,,,,11,1,5,100,1,1,1,,10,skill_hit20,root,,,FireDm+750;AttackRate+28,,,AddHate+2600,,,,,,,,,,,170,,,,,
3597,破军震九藜,163,2,0,3,10,0,Metier=1;MetierLev>=1;Level>=1,,对群体敌人造成火伤害225，3次伤害,"<P><FONT color=""#88aadd"">作用目标：自己为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">其势破军，挥刀震地，以气盖天，倾覆九藜。</FONT></P>",pic_skill_wtc_13,92,WeaponEquiped=1;WeaponType&1,Level>=60;Metier=1;NeedSP 2 44;,1,,,10,0,60,3,1700,2000,skill_c6,,shit,,,,,,,,,,,,,11,1,5,100,1,1,1,,10,skill_hit20,root,,,FireDm+900;AttackRate+38,,,AddHate+3000,,,,,,,,,,,170,,,,,
3598,破军震九藜,163,2,0,4,10,0,Metier=1;MetierLev>=1;Level>=1,,对群体敌人造成火伤害262，3次伤害,"<P><FONT color=""#88aadd"">作用目标：自己为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">其势破军，挥刀震地，以气盖天，倾覆九藜。</FONT></P>",pic_skill_wtc_13,98,WeaponEquiped=1;WeaponType&1,Level>=65;Metier=1;NeedSP 2 44;,1,,,10,0,60,3,1700,2000,skill_c6,,shit,,,,,,,,,,,,,11,1,5,100,1,1,1,,10,skill_hit20,root,,,FireDm+1050;AttackRate+48,,,AddHate+3400,,,,,,,,,,,170,,,,,
3599,破军震九藜,163,2,0,5,10,0,Metier=1;MetierLev>=1;Level>=1,,对群体敌人造成火伤害300，3次伤害,"<P><FONT color=""#88aadd"">作用目标：自己为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">其势破军，挥刀震地，以气盖天，倾覆九藜。</FONT></P>",pic_skill_wtc_13,105,WeaponEquiped=1;WeaponType&1,Level>=70;Metier=1;NeedSP 2 44;,1,,,10,0,60,3,1700,2000,skill_c6,,shit,,,,,,,,,,,,,11,1,5,100,1,1,1,,10,skill_hit20,root,,,FireDm+1200;AttackRate+58,,,AddHate+3800,,,,,,,,,,,170,,,,,
3600,破军震九藜,163,2,0,6,10,0,Metier=1;MetierLev>=1;Level>=1,,对群体敌人造成火伤害337，3次伤害,"<P><FONT color=""#88aadd"">作用目标：自己为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">其势破军，挥刀震地，以气盖天，倾覆九藜。</FONT></P>",pic_skill_wtc_13,112,WeaponEquiped=1;WeaponType&1,Level>=75;Metier=1;NeedSP 2 44;,1,,,10,0,60,3,1700,2000,skill_c6,,shit,,,,,,,,,,,,,11,1,5,100,1,1,1,,10,skill_hit20,root,,,FireDm+1350;AttackRate+68,,,AddHate+4200,,,,,,,,,,,170,,,,,
3601,破军震九藜,163,2,0,7,10,0,Metier=1;MetierLev>=1;Level>=1,,对群体敌人造成火伤害375，3次伤害,"<P><FONT color=""#88aadd"">作用目标：自己为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">其势破军，挥刀震地，以气盖天，倾覆九藜。</FONT></P>",pic_skill_wtc_13,118,WeaponEquiped=1;WeaponType&1,Level>=80;Metier=1;NeedSP 2 44;,1,,,10,0,60,3,1700,2000,skill_c6,,shit,,,,,,,,,,,,,11,1,5,100,1,1,1,,10,skill_hit20,root,,,FireDm+1500;AttackRate+78,,,AddHate+4600,,,,,,,,,,,170,,,,,
3602,破军震九藜,163,2,0,8,10,0,Metier=1;MetierLev>=1;Level>=1,,对群体敌人造成火伤害412，3次伤害,"<P><FONT color=""#88aadd"">作用目标：自己为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">其势破军，挥刀震地，以气盖天，倾覆九藜。</FONT></P>",pic_skill_wtc_13,125,WeaponEquiped=1;WeaponType&1,Level>=85;Metier=1;NeedSP 2 44;,1,,,10,0,60,3,1700,2000,skill_c6,,shit,,,,,,,,,,,,,11,1,5,100,1,1,1,,10,skill_hit20,root,,,FireDm+1650;AttackRate+88,,,AddHate+5000,,,,,,,,,,,170,,,,,
3603,破军震九藜,163,2,0,9,10,0,Metier=1;MetierLev>=1;Level>=1,,对群体敌人造成火伤害450，3次伤害,"<P><FONT color=""#88aadd"">作用目标：自己为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">其势破军，挥刀震地，以气盖天，倾覆九藜。</FONT></P>",pic_skill_wtc_13,132,WeaponEquiped=1;WeaponType&1,Level>=90;Metier=1;NeedSP 2 44;,1,,,10,0,60,3,1700,2000,skill_c6,,shit,,,,,,,,,,,,,11,1,5,100,1,1,1,,10,skill_hit20,root,,,FireDm+1800;AttackRate+98,,,AddHate+5400,,,,,,,,,,,170,,,,,
3604,破军震九藜,163,2,0,10,10,0,Metier=1;MetierLev>=1;Level>=1,,对群体敌人造成火伤害487，3次伤害,"<P><FONT color=""#88aadd"">作用目标：自己为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">其势破军，挥刀震地，以气盖天，倾覆九藜。</FONT></P>",pic_skill_wtc_13,138,WeaponEquiped=1;WeaponType&1,Level>=95;Metier=1;NeedSP 2 44;,1,,,10,0,60,3,1700,2000,skill_c6,,shit,,,,,,,,,,,,,11,1,5,100,1,1,1,,10,skill_hit20,root,,,FireDm+1950;AttackRate+108,,,AddHate+5800,,,,,,,,,,,170,,,,,
3605,巨灵神,164,2,0,1,10,0,Metier=1;MetierLev>=1;Level>=1,,变身成巨灵神，增加物理攻击100，免疫有害状态，持续60秒，无法与龙龟甲共用,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">盘古精血留后世，化作巨灵力擎天，五行方石本命源，人称我来巨灵神。</FONT></P>",pic_skill_wtc_14,78,WeaponEquiped=1;WeaponType&1,Level>=50;Metier=1;NeedSP 2 44;Need 3630;,1,,,0,0,120,1,1500,180000,skill_c7,,shit,,,,,,,,,,,,,3,0,,,0,0,0,,0,,,,,,,AddEff 3250,,,,,,,,,,,,171,,,,,
3606,巨灵神,164,2,0,2,10,0,Metier=1;MetierLev>=1;Level>=1,,变身成巨灵神，增加物理攻击150，免疫有害状态，持续60秒，无法与龙龟甲共用,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">盘古精血留后世，化作巨灵力擎天，五行方石本命源，人称我来巨灵神。</FONT></P>",pic_skill_wtc_14,85,WeaponEquiped=1;WeaponType&1,Level>=55;Metier=1;NeedSP 2 44;Need 3630;,1,,,0,0,120,1,1500,180000,skill_c7,,shit,,,,,,,,,,,,,3,0,,,0,0,0,,0,,,,,,,AddEff 3251,,,,,,,,,,,,171,,,,,
3607,巨灵神,164,2,0,3,10,0,Metier=1;MetierLev>=1;Level>=1,,变身成巨灵神，增加物理攻击200，免疫有害状态，持续60秒，无法与龙龟甲共用,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">盘古精血留后世，化作巨灵力擎天，五行方石本命源，人称我来巨灵神。</FONT></P>",pic_skill_wtc_14,92,WeaponEquiped=1;WeaponType&1,Level>=60;Metier=1;NeedSP 2 44;Need 3630;,1,,,0,0,120,1,1500,180000,skill_c7,,shit,,,,,,,,,,,,,3,0,,,0,0,0,,0,,,,,,,AddEff 3252,,,,,,,,,,,,171,,,,,
3608,巨灵神,164,2,0,4,10,0,Metier=1;MetierLev>=1;Level>=1,,变身成巨灵神，增加物理攻击250，免疫有害状态，持续60秒，无法与龙龟甲共用,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">盘古精血留后世，化作巨灵力擎天，五行方石本命源，人称我来巨灵神。</FONT></P>",pic_skill_wtc_14,98,WeaponEquiped=1;WeaponType&1,Level>=65;Metier=1;NeedSP 2 44;Need 3630;,1,,,0,0,120,1,1500,180000,skill_c7,,shit,,,,,,,,,,,,,3,0,,,0,0,0,,0,,,,,,,AddEff 3253,,,,,,,,,,,,171,,,,,
3609,巨灵神,164,2,0,5,10,0,Metier=1;MetierLev>=1;Level>=1,,变身成巨灵神，增加物理攻击300，免疫有害状态，持续60秒，无法与龙龟甲共用,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">盘古精血留后世，化作巨灵力擎天，五行方石本命源，人称我来巨灵神。</FONT></P>",pic_skill_wtc_14,105,WeaponEquiped=1;WeaponType&1,Level>=70;Metier=1;NeedSP 2 44;Need 3630;,1,,,0,0,120,1,1500,180000,skill_c7,,shit,,,,,,,,,,,,,3,0,,,0,0,0,,0,,,,,,,AddEff 3254,,,,,,,,,,,,171,,,,,
3610,巨灵神,164,2,0,6,10,0,Metier=1;MetierLev>=1;Level>=1,,变身成巨灵神，增加物理攻击350，免疫有害状态，持续60秒，无法与龙龟甲共用,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">盘古精血留后世，化作巨灵力擎天，五行方石本命源，人称我来巨灵神。</FONT></P>",pic_skill_wtc_14,112,WeaponEquiped=1;WeaponType&1,Level>=75;Metier=1;NeedSP 2 44;Need 3630;,1,,,0,0,120,1,1500,180000,skill_c7,,shit,,,,,,,,,,,,,3,0,,,0,0,0,,0,,,,,,,AddEff 3255,,,,,,,,,,,,171,,,,,
3611,巨灵神,164,2,0,7,10,0,Metier=1;MetierLev>=1;Level>=1,,变身成巨灵神，增加物理攻击400，免疫有害状态，持续60秒，无法与龙龟甲共用,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">盘古精血留后世，化作巨灵力擎天，五行方石本命源，人称我来巨灵神。</FONT></P>",pic_skill_wtc_14,118,WeaponEquiped=1;WeaponType&1,Level>=80;Metier=1;NeedSP 2 44;Need 3630;,1,,,0,0,120,1,1500,180000,skill_c7,,shit,,,,,,,,,,,,,3,0,,,0,0,0,,0,,,,,,,AddEff 3256,,,,,,,,,,,,171,,,,,
3612,巨灵神,164,2,0,8,10,0,Metier=1;MetierLev>=1;Level>=1,,变身成巨灵神，增加物理攻击450，免疫有害状态，持续60秒，无法与龙龟甲共用,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">盘古精血留后世，化作巨灵力擎天，五行方石本命源，人称我来巨灵神。</FONT></P>",pic_skill_wtc_14,125,WeaponEquiped=1;WeaponType&1,Level>=85;Metier=1;NeedSP 2 44;Need 3630;,1,,,0,0,120,1,1500,180000,skill_c7,,shit,,,,,,,,,,,,,3,0,,,0,0,0,,0,,,,,,,AddEff 3257,,,,,,,,,,,,171,,,,,
3613,巨灵神,164,2,0,9,10,0,Metier=1;MetierLev>=1;Level>=1,,变身成巨灵神，增加物理攻击500，免疫有害状态，持续60秒，无法与龙龟甲共用,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">盘古精血留后世，化作巨灵力擎天，五行方石本命源，人称我来巨灵神。</FONT></P>",pic_skill_wtc_14,132,WeaponEquiped=1;WeaponType&1,Level>=90;Metier=1;NeedSP 2 44;Need 3630;,1,,,0,0,120,1,1500,180000,skill_c7,,shit,,,,,,,,,,,,,3,0,,,0,0,0,,0,,,,,,,AddEff 3258,,,,,,,,,,,,171,,,,,
3614,巨灵神,164,2,0,10,10,0,Metier=1;MetierLev>=1;Level>=1,,变身成巨灵神，增加物理攻击600，免疫有害状态，持续60秒，无法与龙龟甲共用,"<P><FONT color=""#88aadd"">作用目标：自己</FONT></P><P><FONT color=""#88aadd"">盘古精血留后世，化作巨灵力擎天，五行方石本命源，人称我来巨灵神。</FONT></P>",pic_skill_wtc_14,138,WeaponEquiped=1;WeaponType&1,Level>=95;Metier=1;NeedSP 2 44;Need 3630;,1,,,0,0,120,1,1500,180000,skill_c7,,shit,,,,,,,,,,,,,3,0,,,0,0,0,,0,,,,,,,AddEff 3259,,,,,,,,,,,,171,,,,,
